Tag,description,|,paths
indata,data given to us by gns (big data),|,K:\mh_modeling\data_from_gns
N,the model run for the median n scen on ashopt,|,K:\mh_modeling\data_from_gns\AshOpt_medianN
EMMA,Endmember mixing output repositories,|,K:\mh_modeling\data_from_gns\EM_coast_lstrepo
EMMA,Endmember mixing output repositories,|,K:\mh_modeling\data_from_gns\EM_coast_masrepo
EMMA,Endmember mixing output repositories,|,K:\mh_modeling\data_from_gns\EM_coast_ucnrepo
EMMA,Endmember mixing output repositories,|,K:\mh_modeling\data_from_gns\EM_inland_lstrepo
EMMA,Endmember mixing output repositories,|,K:\mh_modeling\data_from_gns\EM_inland_masrepo
EMMA,Endmember mixing output repositories,|,K:\mh_modeling\data_from_gns\EM_inland_ucnrepo
Ashley,a model run setting upper ashly gorge losses lower,|,K:\mh_modeling\data_from_gns\Phiupper_ashtest
readme,readme,|,K:\mh_modeling\data_from_gns\READ_ME.txt
reporting,"some reporting stuff, nothing final",|,K:\mh_modeling\data_from_gns\Reporting
flow,stocasitc model repository,|,K:\mh_modeling\data_from_gns\cbcrepo
flow,stocasitc model repository,|,K:\mh_modeling\data_from_gns\hdsrepo
n,stocasitc N run for median load,|,K:\mh_modeling\data_from_gns\median_n
EMMA,alpine river phi low model results,|,K:\mh_modeling\data_from_gns\mt_aw_ex_alpine_philow
n,phi low median N results,|,K:\mh_modeling\data_from_gns\mt_aw_ex_mednload_philow_tvd
optimisation,optimisation parameters,|,K:\mh_modeling\data_from_gns\recrepo
optimisation,optimisation parameters,|,K:\mh_modeling\data_from_gns\reirepo
model run,run file for the mt3d median N ,|,K:\mh_modeling\data_from_gns\run_files
flow,stocastic observations,|,K:\mh_modeling\data_from_gns\sforepo
originals,"a zipped version of originals, may not be complete",|,K:\mh_modeling\data_from_gns\zipped_originals
flow ,the data I provided to mark in oct around flows projections also contains gridded stream depletion,|,K:\mh_modeling\data_to_mark
source area,particle tracking for interzone,|,K:\mh_modeling\interzone_source_zones
model run,flow model runs to support particle tranport,|,K:\mh_modeling\modflow_dir_for_source
Datasets,sinthisised netcdf data,|,K:\mh_modeling\netcdfs_of_key_modeling_data
flow,the cbc for the gmp flow simulation (see pc5_80),|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_cbc.nc
N,the n concentration for the gmp load on a gmp flow simulation with an additional 1 m3/s added to the eyre near oxford (see pc5_80),|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_mednload_eyre_mar_ucn.nc
N,the n concentration for the gmp load on a gmp flow simulation (see pc5_80),|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_mednload_ucn.nc
N,the n concentration for the gmp load and a 50% reduction of load on interzone on a gmp flow simulation (see pc5_80),|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_mednload_ucn_50_reduc_interzone.nc
N,the n concentration for the gmp load and a 8kg/ha load on the christchurch westmelton zone on a gmp flow simulation (see pc5_80),|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_mednload_ucn_8kg_ha_chch.nc
N,the n concentration for the gmp load and a 8kg/ha load on interzone on a gmp flow simulation (see pc5_80),|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_mednload_ucn_8kg_ha_interzone.nc
N,a 15 percent reduction on all dairy and dairy support in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus15per_dairy_ucn.nc
N,a 25 percent reduction on all dairy and dairy support in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus25per_dairy_ucn.nc
N,a 10 percent reduction on all dairy and dairy support in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_10per_dairy_ucn.nc
N,a 10 percent reduction on  all land with a gmp nload >= 15kg/ha in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_10per_on_15kgha_ucn.nc
N,a 10 percent reduction on  all land with a gmp nload >= 5kg/ha in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_10per_on_5kgha_ucn.nc
N,a 20 percent reduction on all dairy and dairy support in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_20per_dairy_ucn.nc
N,a 20 percent reduction on  all land with a gmp nload >= 15kg/ha in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_20per_on_15kgha_ucn.nc
N,a 20 percent reduction on  all land with a gmp nload >= 5kg/ha in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_20per_on_5kgha_ucn.nc
N,a 30 percent reduction on all dairy and dairy support in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_30per_dairy_ucn.nc
N,a 30 percent reduction on  all land with a gmp nload >= 15kg/ha in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_30per_on_15kgha_ucn.nc
N,a 30 percent reduction on  all land with a gmp nload >= 5kg/ha in the waimakariri zone,|,K:\mh_modeling\netcdfs_of_key_modeling_data\GMP_plus_30per_on_5kgha_ucn.nc
,?,|,K:\mh_modeling\netcdfs_of_key_modeling_data\check_nan_emma_unc.csv
,?,|,K:\mh_modeling\netcdfs_of_key_modeling_data\check_nan_post_filter1_cell_budgets.csv
,?,|,K:\mh_modeling\netcdfs_of_key_modeling_data\check_nan_post_filter1_hds.csv
landuse fraction,all dairy on well drained soils (denoted as not pd soils) were set to a concentration of 1 everything else was set to zero,|,K:\mh_modeling\netcdfs_of_key_modeling_data\dairy_highdrain_fraction.nc
landuse fraction,all dairy on poorly drained soils (denoted as pd soils) were set to a concentration of 1 everything else was set to zero,|,K:\mh_modeling\netcdfs_of_key_modeling_data\dairy_lowdrain_fraction.nc
EMMA," endmember mixing analysis results for inland and coastal endmembers.  
    initial concentrations for each endmember was 1.  
    the coastal endmember is defined as the LSR from a line approximately drawn through 
    [Greendale, 2km south of Charing Cross, Noalan House, Kirwee, corner of worlingham rd, Arcadia] to the coast
    the inland endmember is defined as the LSR inland of the coastal member, as well as the influxes for the eyre river,
     Ashley tributaries, and cust inflow. we intended to set the selwyn streams and northern boundary flux (lowburn) to 
     inland, but a bug in the mt3d run meant that they were not interpreted as inland.  we did not re-run due to 
     programme time constraints LSR on both sides of the Waimakariri river were set
     we envisage a third endmember (i.e. alpine river water), but due to time constraints we are assuming that the sum 
     of all of these endmembers is 1 for each observation point and did not run the alpine river endmember",|,K:\mh_modeling\netcdfs_of_key_modeling_data\emma_unc.nc
